Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Thursday,06:00-09:00,20,4,120,72,71
Greedy Demand,Thursday,06:00-09:00,20,4,120,101,54
Nearest Neighbor,Thursday,06:00-09:00,20,5,120,82,88
Greedy Demand,Thursday,06:00-09:00,20,5,120,117,70
Nearest Neighbor,Thursday,06:00-09:00,20,1,150,25,25
Greedy Demand,Thursday,06:00-09:00,20,1,150,39,15
Nearest Neighbor,Thursday,06:00-09:00,20,2,150,47,48
Greedy Demand,Thursday,06:00-09:00,20,2,150,75,35
Nearest Neighbor,Thursday,06:00-09:00,20,3,150,69,71
Greedy Demand,Thursday,06:00-09:00,20,3,150,99,53
Nearest Neighbor,Thursday,06:00-09:00,20,4,150,84,91
Greedy Demand,Thursday,06:00-09:00,20,4,150,120,74
Nearest Neighbor,Thursday,06:00-09:00,20,5,150,98,109
Greedy Demand,Thursday,06:00-09:00,20,5,150,133,88
Nearest Neighbor,Thursday,06:00-09:00,20,1,180,32,30
Greedy Demand,Thursday,06:00-09:00,20,1,180,39,19
Nearest Neighbor,Thursday,06:00-09:00,20,2,180,53,56
Greedy Demand,Thursday,06:00-09:00,20,2,180,80,40
Nearest Neighbor,Thursday,06:00-09:00,20,3,180,83,85
Greedy Demand,Thursday,06:00-09:00,20,3,180,104,63
Nearest Neighbor,Thursday,06:00-09:00,20,4,180,100,109
Greedy Demand,Thursday,06:00-09:00,20,4,180,126,85
Nearest Neighbor,Thursday,06:00-09:00,20,5,180,131,129
Greedy Demand,Thursday,06:00-09:00,20,5,180,132,100
Nearest Neighbor,Thursday,06:00-09:00,40,1,60,11,10
Greedy Demand,Thursday,06:00-09:00,40,1,60,13,3
Nearest Neighbor,Thursday,06:00-09:00,40,2,60,20,20
Greedy Demand,Thursday,06:00-09:00,40,2,60,30,9
Nearest Neighbor,Thursday,06:00-09:00,40,3,60,32,28
Greedy Demand,Thursday,06:00-09:00,40,3,60,39,13
Nearest Neighbor,Thursday,06:00-09:00,40,4,60,40,36
Greedy Demand,Thursday,06:00-09:00,40,4,60,54,21
Nearest Neighbor,Thursday,06:00-09:00,40,5,60,50,44
Greedy Demand,Thursday,06:00-09:00,40,5,60,67,28
Nearest Neighbor,Thursday,06:00-09:00,40,1,90,17,15
Greedy Demand,Thursday,06:00-09:00,40,1,90,25,7
Nearest Neighbor,Thursday,06:00-09:00,40,2,90,31,29
Greedy Demand,Thursday,06:00-09:00,40,2,90,49,18
Nearest Neighbor,Thursday,06:00-09:00,40,3,90,41,42
Greedy Demand,Thursday,06:00-09:00,40,3,90,73,30
Nearest Neighbor,Thursday,06:00-09:00,40,4,90,57,55
Greedy Demand,Thursday,06:00-09:00,40,4,90,90,39
Nearest Neighbor,Thursday,06:00-09:00,40,5,90,64,65
Greedy Demand,Thursday,06:00-09:00,40,5,90,101,48
Nearest Neighbor,Thursday,06:00-09:00,40,1,120,22,20
Greedy Demand,Thursday,06:00-09:00,40,1,120,35,11
Nearest Neighbor,Thursday,06:00-09:00,40,2,120,40,38
Greedy Demand,Thursday,06:00-09:00,40,2,120,69,28
Nearest Neighbor,Thursday,06:00-09:00,40,3,120,61,56
Greedy Demand,Thursday,06:00-09:00,40,3,120,92,40
Nearest Neighbor,Thursday,06:00-09:00,40,4,120,72,71
Greedy Demand,Thursday,06:00-09:00,40,4,120,107,54
Nearest Neighbor,Thursday,06:00-09:00,40,5,120,82,88
Greedy Demand,Thursday,06:00-09:00,40,5,120,123,70
Nearest Neighbor,Thursday,06:00-09:00,40,1,150,25,25
Greedy Demand,Thursday,06:00-09:00,40,1,150,43,15
Nearest Neighbor,Thursday,06:00-09:00,40,2,150,47,48
Greedy Demand,Thursday,06:00-09:00,40,2,150,82,35
Nearest Neighbor,Thursday,06:00-09:00,40,3,150,74,71
Greedy Demand,Thursday,06:00-09:00,40,3,150,106,53
Nearest Neighbor,Thursday,06:00-09:00,40,4,150,89,91
Greedy Demand,Thursday,06:00-09:00,40,4,150,127,74
Nearest Neighbor,Thursday,06:00-09:00,40,5,150,103,109
Greedy Demand,Thursday,06:00-09:00,40,5,150,140,88
Nearest Neighbor,Thursday,06:00-09:00,40,1,180,32,30
Greedy Demand,Thursday,06:00-09:00,40,1,180,51,19
Nearest Neighbor,Thursday,06:00-09:00,40,2,180,53,56
Greedy Demand,Thursday,06:00-09:00,40,2,180,92,40
Nearest Neighbor,Thursday,06:00-09:00,40,3,180,86,85
Greedy Demand,Thursday,06:00-09:00,40,3,180,116,63
Nearest Neighbor,Thursday,06:00-09:00,40,4,180,103,109
Greedy Demand,Thursday,06:00-09:00,40,4,180,138,85
Nearest Neighbor,Thursday,06:00-09:00,40,5,180,134,129
Greedy Demand,Thursday,06:00-09:00,40,5,180,144,100
